NCT/ EUCT ID,Targeted disease,Clinical Trial,Therapy
NCT04884012,Relapse & Refractory MCL,Phase II,CD19 CAR-T & acalabrutinib
NCT05894488,B-cell Lymphoma,Phase I,CAR-T and tozinameran
NCT05093392,B-cell Lymphoma,Phase II,Anti-CD19 CAR-Engineered T Cells with BTK-i
NCT06045179,Relapsed/Refractory Non-Hodgkin Lymphoma,Phase I,CD70x-19 CAR T Cells
NCT05815616,High Risk MCL,Phase I,Acalabrutinib plus rituximab followed by letermovir unlocked
NCT04706922,Relapse & Refractory Lymphomas,Phase I,CAR-2019-T Cells
NCT05444822,Relapse & Refractory Lymphoma,Phase I,CAR-T or CAR-T and Ib-181-01
NCT05709408,Relapse & Refractory Non-Hodgkin Lymphomas,Phase I,BAFFR-Targeting CAR-T Cells
NCT04785044,CD19+ Lymphoid Disease,Phase I/II,Third generation T cells
2022-502965-15-00,CAR-T cell treatment after an abbreviated regimen with autopilot T cells and tobrutinib,Phase II,anti-CD19 CAR-T
NCT04602639,B Cell Lymphoma,Phase II,anti-CD20(ARA)
NCT05848840,B-cell Lymphoma and Leukemia,Phase II,F120T requiring autologous CAR T
