Clinicopathologic Factors,n,Negative (%),Positive (%),P Value
T,,,,0.54
T1&T2,34,10 (29.4%),24 (45.5%),
T3&T4,11,5 (70.5%),6 (54.5%),
N,,,,0.75
N0,21,8 (38.1%),13 (61.9%),
≥N1,24,7 (29.2%),17 (70.8%),
M,,,,0.58
M0,16,4 (25%),12 (75%),
M1,29,11 (37.9%),18 (62.1%),
Stage,,,,0.73
I&II,8,2 (25%),6 (75%),
III,8,2 (25%),6 (75%),
IV,29,11 (37.9%),18 (62.1%),
Smoke,,,,1
Yes,23,8 (34.8%),15 (65.2%),
No,22,7 (31.8%),15 (68.2%),
Mutation,,,,0.22
ALK,7,1 (14.3%),6 (85.7%),
EGFR,25,11 (44%),14 (56%),
Gender,,,,0.9
Male,22,8 (36.4%),14 (63.6%),
Female,23,7 (30.4%),16 (69.5%),
Age,,,,0.46
≥60,22,9 (40.9%),13 (59.1%),
<60,23,6 (26.1%),17 (73.9%),
